Incline dumbbell row,Middle Back,Dumbbell
Dumbbell Lunges,Quadriceps,Dumbbell
Single-arm standing shoulder press,Shoulders,Dumbbell
Preacher Curl,Biceps,Barbell
Reverse crunch,Abdominals,Body Only
Standing Dumbbell Triceps Extension,Triceps,Dumbbell
Elliptical trainer,Quadriceps,Machine
Bodyweight squat,Quadriceps,Body Only
Bent Over Two-Dumbbell Row With Palms In,Middle Back,Dumbbell
Hex-bar deadlift,Quadriceps,Other
Narrow-stance leg press,Quadriceps,Machine
Single-leg glute bridge,Glutes,Body Only
Barbell Curls Lying Against An Incline,Biceps,Barbell
Standing Hip Circles,Abductors,Body Only
Clam,Abductors,
Narrow Stance Hack Squats,Quadriceps,Machine
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell
Dumbbell Lying Pronation,Forearms,
Smith machine box squat,Quadriceps,Barbell
Drop Push,Chest,Other
Upside-down pull-up,Middle Back,Other
Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar
Close-grip EZ-bar bench press,Chest,E-Z Curl Bar
Incline Push-Up,Chest,Body Only
Hyperextensions With No Hyperextension Bench,Lower Back,Body Only
Dumbbell front raise,Shoulders,Dumbbell
Parallel Bar Dip,Triceps,Body Only
Stairmaster,Quadriceps,Machine
Double Leg Butt Kick,Quadriceps,
Groiners,Adductors,Body Only
Neck Press,Chest,Barbell
Broad jump,Quadriceps,Body Only
Machine Squat,Quadriceps,Machine
V-bar pull-up,Lats,
Ring dip,Triceps,Body Only
Standing One-Arm Cable Curl,Biceps,Cable
Burpee,Quadriceps,Body Only
Double-arm triceps kick-back,Triceps,Dumbbell
Dumbbell reverse lunge,Quadriceps,Dumbbell
Seated Calf Raise,Calves,Machine
Standing dumbbell shrug,Traps,Dumbbell
Calf Press On The Leg Press Machine,Calves,Machine
Barbell step-up,Quadriceps,Barbell
Feet-elevated bench dip,Triceps,Body Only
Bent Over Barbell Row,Middle Back,Barbell
Crunches,Abdominals,Body Only
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell
Bent-over dumbbell rear delt row,Shoulders,Dumbbell
External Rotation with Cable,Shoulders,Cables
Handstand push-up,Shoulders,Body Only
Single-arm dumbbell preacher curl,Biceps,Dumbbell
Step-up with knee raise,Glutes,Body Only
Smith machine back squat,Quadriceps,Machine
Incline dumbbell front raise,Shoulders,Dumbbell
Alternate Incline Dumbbell Curl,Biceps,Dumbbell
Standing dumbbell upright row,Traps,Dumbbell
Single-arm cable front raise,Shoulders,Cable
Two-Arm Kettlebell Military Press,Shoulders,Kettlebells
Incline cable chest press,Chest,Cable
Rope climb,Lats,Body Only
Trail Running/Walking,Quadriceps,Body Only
Standing Bradford press,Shoulders,Barbell
Neutral-grip dumbbell bench press,Chest,Dumbbell
Cable Chest Press,Chest,Cable
Standing concentration curl,Biceps,Dumbbell
Wide-Grip Rear Pull-Up,Lats,Body Only
Kettlebell pass-through lunge,Hamstrings,Kettlebells
Hands-elevated push-up,Chest,Body Only
Deadlift with Bands,Lower Back,Barbell
Straight-arm rope pull-down,Lats,Cable
Barbell Shoulder Press,Shoulders,Barbell
Power clean,Hamstrings,Barbell
Hang Snatch,Hamstrings,Barbell
Kettlebell sumo deadlift high pull,Traps,Kettlebells
Calf-Machine Shoulder Shrug,Traps,Machine
Bench Press - Powerlifting,Triceps,Barbell
Rocking Standing Calf Raise,Calves,Barbell
Goblet Squat,Quadriceps,Kettlebells
Behind-the-head skullcrusher,Triceps,Barbell
Seated palms-up wrist curl,Forearms,Barbell
Reverse Cable Curl,Biceps,Cable
Dumbbell side bend,Abdominals,Dumbbell
Lat pull-down,Lats,Cable
Side Lateral Raise,Shoulders,Dumbbell
Alternating incline dumbbell biceps curl,Biceps,Dumbbell
Kettlebell One-Legged Deadlift,Hamstrings,Kettlebells
Alternate Hammer Curl,Biceps,Dumbbell
Decline Push-Up,Chest,Body Only
Captain's chair knee raise,Abdominals,Other
Triceps Pushdown,Triceps,Cable
Low cable overhead triceps extension,Triceps,Cable
Single-arm cable cross-over,Chest,Cable
Seated dumbbell biceps curl,Biceps,Dumbbell
Battle ropes,Shoulders,Other
Dead bug reach,Abdominals,Body Only
Deadlift with Chains,Lower Back,Barbell
Rope Crunch,Abdominals,Cable
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell
Kettlebell thruster,Glutes,Kettlebells
Single-Arm Push-Up,Chest,Body Only
Band Hip Adductions,Adductors,Bands
Single-arm kettlebell clean,Hamstrings,Kettlebells
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell
Alternating Kettlebell Press,Shoulders,Kettlebells
Split Squat with Dumbbells,Quadriceps,Dumbbell
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,
Standing Olympic Plate Hand Squeeze,Forearms,Other
Sledgehammer swing,Abdominals,Other
Kneeling Squat,Glutes,Barbell
Single-arm kettlebell snatch,Shoulders,Kettlebells
Close-grip barbell curl,Biceps,Barbell
Box jump,Hamstrings,Other
Standing cable crunch,Abdominals,Cable
Leverage Incline Chest Press,Chest,Machine
Standing barbell overhead triceps extension,Triceps,Barbell
Lying cable triceps extension,Triceps,Cable
Kettlebell Turkish Get-Up (Squat style),Shoulders,
Crunch - Hands Overhead,Abdominals,Body Only
Cable Internal Rotation,Shoulders,Cable
Leg Extensions,Quadriceps,Machine
Close push-up to wide push-up,Chest,Body Only
Single-arm dumbbell triceps extension,Triceps,Dumbbell
Butterfly,Chest,Machine
Decline dumbbell bench press,Chest,Dumbbell
V-up,Abdominals,Body Only
Seated face pull,Shoulders,Cable
Barbell Bulgarian split squat,Quadriceps,Barbell
Reverse-grip lat pull-down,Lats,Machine
Standing Biceps Cable Curl,Biceps,Cable
Single-arm cable seated row,Middle Back,Cable
Single-arm kettlebell row,Chest,Dumbbell
Scissors Jump,Quadriceps,Body Only
Wide Stance Stiff Legs,Hamstrings,Barbell
Rack Pull with Bands,Lower Back,Barbell
Drag curl,Biceps,Barbell
Hang Clean - Below the Knees,Quadriceps,Barbell
Decline oblique crunch,Abdominals,None
Dumbbell external shoulder rotation,Shoulders,Dumbbell
Single-arm bent-over cable rear delt fly,Shoulders,Cable
Clean,Hamstrings,Barbell
Single-arm incline lateral raise,Shoulders,Dumbbell
Decline bar press sit-up,Abdominals,Barbell
Barbell rear delt bent-over row,Shoulders,Barbell
Calf Press,Calves,Machine
Kettlebell alternating renegade row,Middle Back,Kettlebells
Bosu Ball Cable Crunch With Side Bends,Abdominals,Cable
Stomach Vacuum,Abdominals,Body Only
Hammer Grip Incline DB Bench Press,Chest,Dumbbell
Wide-grip hands-elevated push-up,Chest,Body Only
Decline Dumbbell Triceps Extension,Triceps,Dumbbell
Jumping jack-,Quadriceps,Body Only
Push-Ups With Feet On An Exercise Ball,Chest,Body Only
Seated cable shoulder press,Shoulders,Cable
Barbell hack squat,Quadriceps,Barbell
Feet-elevated push-up,Chest,Body Only
Good Morning,Hamstrings,Barbell
Leverage Chest Press,Chest,Machine
Gironda Sternum Chins,Lats,Other
Exercise ball crunch,Abdominals,Exercise Ball
Seated rear delt fly,Shoulders,Dumbbell
Standing face pull,Shoulders,Cable
Glute Ham Raise,Hamstrings,Machine
Russian twist,Abdominals,Body Only
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench
Barbell shrug,Traps,Barbell
Standing cable rear delt row,Shoulders,Cable
Flat Bench Lying Leg Raise,Abdominals,Body Only
Hack Squat,Quadriceps,Barbell
Dumbbell skullcrusher,Triceps,Dumbbell
Man-maker,Middle Back,Dumbbell
Pallof press,Abdominals,Other
Knees tucked crunch,Abdominals,Body Only
Straight-arm dumbbell pull-over,Chest,Dumbbell
Arms-crossed jump squat,Quadriceps,Body Only
Decline Smith Press,Chest,Machine
Band Skull Crusher,Triceps,
Side Wrist Pull,Shoulders,None
Isometric Wipers,Chest,Body Only
Skating,Quadriceps,Other
Cable cross-over,Chest,Cable
Treadmill running,Quadriceps,Machine
One Arm Pronated Dumbbell Triceps Extension,Triceps,Dumbbell
Single-arm kettlebell clean and jerk,Shoulders,Kettlebells
Side To Side Chins,Lats,Body Only
Incline Dumbbell Bench With Palms Facing In,Chest,Dumbbell
Seated palms-down wrist curl,Forearms,Dumbbell
Standing leg swing,Hamstrings,Body Only
Clock push-up,Chest,Body Only
Machine seated row,Lats,Machine
Lying Face Up Plate Neck Resistance,Neck,Other
Weighted sissy squat,Quadriceps,Other
Jog In Place,Quadriceps,
Dumbbell Raise,Shoulders,Dumbbell
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell
One Arm Supinated Dumbbell Triceps Extension,Triceps,Dumbbell
Stationary bike,Quadriceps,Machine
Dumbbell bent-over row,Middle Back,Dumbbell
Barbell thruster,Quadriceps,Barbell
Flutter Kicks,Glutes,Weight Bench
Dumbbell sumo squat,Quadriceps,Dumbbell
Barbell upright row,Shoulders,Barbell
Superman,Lower Back,Body Only
Straight-Arm Pulldown,Lats,Cable
Barbell stiff-legged deadlift,Hamstrings,Barbell
Standing One-Arm Dumbbell Triceps Extension,Triceps,Dumbbells
Smith machine bench press,Chest,Machine
Seated Side Lateral Raise,Shoulders,Dumbbell
Dumbbell Lying Rear Lateral Raise,Shoulders,Dumbbell
Dumbbell preacher curl,Biceps,Dumbbell
Front Raise And Pullover,Chest,Barbell
Dumbbell seated box jump,Quadriceps,Dumbbell
Middle Back Shrug,Middle Back,Dumbbell
Incline face-down bar front raise,Shoulders,E-Z Curl Bar
Butt-Ups,Abdominals,Body Only
Band Good Morning (Pull Through),Hamstrings,Bands
Bodyweight Reverse Lunge,Quadriceps,Body Only
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Forearms,Dumbbell
Glute Kickback,Glutes,Body Only
Treadmill jogging,Quadriceps,Machine
Plate Pinch,Forearms,Other
Yates Row Reverse Grip,Middle Back,Barbell
Linear Acceleration Wall Drill,Hamstrings,Body Only
Reverse-grip bench press,Triceps,Barbell
Leverage Decline Chest Press,Chest,Machine
Chain Handle Extension,Triceps,Other
Bench Press with Chains,Triceps,Barbell
Bench barbell roll-out,Abdominals,Barbell
Incline Push-Up Depth Jump,Chest,Body Only
Push-Up Wide,Chest,Body Only
Exercise ball weighted hyperextension,Lower Back,Exercise Ball
Barbell behind-the-back shrug,Traps,Barbell
Lying Supine Dumbbell Curl,Biceps,Dumbbell
Internal Rotation with Band,Shoulders,Bands
Machine Preacher Curls,Biceps,Machine
Bottoms-Up Clean From The Hang Position,Forearms,Kettlebells
Single-arm kneeling lat pull-down,Lats,Cable
Floor Press,Triceps,Barbell
Chest Push (multiple response),Chest,Medicine Ball
Feet-elevated oblique crunch,Abdominals,Body Only
Elevated Cable Rows,Lats,Cable
Incline Dumbbell Flyes - With A Twist,Chest,Dumbbell
Cross Over - With Bands,Chest,Bands
Dumbbell iron cross squat,Shoulders,
Split Jerk,Quadriceps,Barbell
Standing Low-Pulley Deltoid Raise,Shoulders,Cable
Cobra Triceps Extension,Triceps,
Advanced Kettlebell Windmill,Abdominals,Kettlebells
Rack pull,Lower Back,Barbell
Dumbbell step-up,Quadriceps,Dumbbell
Smith machine inverted row,Middle Back,Other
Bent-arm dumbbell pull-over,Chest,Dumbbell
Reverse-grip barbell curl,Biceps,Barbell
Standing Cable Wood Chop,Abdominals,Cable
Band Pull Apart,Shoulders,Bands
Cable rope hammer curl,Biceps,Cable
Standing crossed-cable rear delt fly,Shoulders,Cable
Kettlebell Turkish Get-Up (Lunge style),Shoulders,Kettlebells
Reverse Machine Flyes,Shoulders,Machine
Single-leg kettlebell deadlift,Hamstrings,Kettlebells
Machine chest press,Chest,Machine
Supine Chest Throw,Triceps,Medicine Ball
Push-jerk,Quadriceps,Barbell
One-Arm Kettlebell Row,Middle Back,
Mixed Grip Chin,Middle Back,Body Only
Bradford/Rocky Presses,Shoulders,Barbell
Incline anti-gravity shoulder press,Shoulders,E-Z Curl Bar
Alien Squat,Quadriceps,Body Only
Barbell back squat,Quadriceps,Barbell
Neutral-grip pull-up,Lats,Body Only
Bodyweight triceps press,Triceps,Body Only
Cable reverse crunch,Abdominals,Cable
Cable Hip Adduction,Quadriceps,Cable
Butt Kicks,Quadriceps,Body Weight
Machine-assisted pull-up,Lats,Machine
Standing Cable Chest Press,Chest,Cable
Lying cable biceps curl,Biceps,Cable
Seated Back Extension,Lower Back,Machine
Low Cable Triceps Extension,Triceps,Cable
Iliotibial band SMR,Abductors,Foam Roll
Head-on-bench dumbbell rear delt raise,Shoulders,Dumbbell
Pendlay Row,Middle Back,Barbell
Dumbbell Clean,Hamstrings,
Lying rear delt fly,Shoulders,Barbell
Seated Bent-Over Two-Arm Dumbbell Triceps Extension,Triceps,Dumbbell
Recumbent Bike,Quadriceps,Machine
Thigh abductor,Abductors,Machine
Standing barbell calf raise,Calves,Barbell
Treadmill walking,Quadriceps,Body Only
Romanian Deadlift,Hamstrings,Barbell
Box Jump (Multiple Response),Hamstrings,Other
Bent-knee reverse crunch,Abdominals,Body Only
Cable overhead triceps extension,Triceps,Cable
Smith machine bent-over row,Middle Back,Machine
Knee Tuck Jump,Hamstrings,Body Only
Cable straight-bar upright row,Traps,Cable
Seated Good Mornings,Lower Back,Barbell
Close-grip dumbbell bench press,Chest,Dumbbell
Zercher squat,Quadriceps,Barbell
Full Range-Of-Motion Lat Pulldown,Lats,Cable
Cable Shoulder Press,Shoulders,Cable
Cable Russian Twists,Abdominals,Cable
EZ-bar skullcrusher-,Triceps,E-Z Curl Bar
Stiff Leg Barbell Good Morning,Lower Back,Barbell
Standing Dumbbell Reverse Curl,Biceps,Dumbbell
Lying Close-Grip Barbell Triceps Press To Chin,Triceps,E-Z Curl Bar
Tate Press,Triceps,Dumbbell
Back Flyes - With Bands,Shoulders,Bands
Ab Crunch Machine,Abdominals,Machine
Alternating heel-touch,Abdominals,Body Only
Wall ball toss,Quadriceps,Exercise Ball
Smith Machine Incline Bench Press,Chest,Machine
Machine Shoulder (Military) Press,Shoulders,Barbell
Fire Hydrant,Abductors,Body Only
Cuban press,Shoulders,Dumbbell
Reverse Flyes With External Rotation,Shoulders,Dumbbell
Hanging wind sprint,Abdominals,
Windmills,Abductors,Body Only
Bent-arm barbell pull-over,Lats,Barbell
Sphinx push-up,Chest,Body Only
Smith Machine Close-Grip Bench Press,Chest,Machine
Palms-out incline biceps curl,Biceps,Dumbbell
Alternating Cable Shoulder Press,Shoulders,Cable
Rocket Jump,Quadriceps,Body Only
Yoke Walk,Quadriceps,Other
Romanian Deadlift with Kettlebell,Hamstrings,Kettlebells
Smith machine leg press,Quadriceps,Machine
Jefferson Squats,Quadriceps,Barbell
Single-arm low cable triceps extension,Triceps,Cable
Smith machine straight-legged hip raise,Abdominals,Machine
Reverse Hyperextension,Hamstrings,Machine
Jerk Dip Squat,Quadriceps,Barbell
Kettlebell plyo push-up,Chest,Kettlebells
Weighted Sit-Ups - With Bands,Abdominals,Other
Depth jump box jump,Quadriceps,Body Only
Bodyweight Walking Lunge,Quadriceps,Body Only
Lying Machine Squat,Quadriceps,Machine
Seated Leg Curl,Hamstrings,Machine
Standing Barbell Press Behind Neck,Shoulders,Barbell
Close-Grip EZ-Bar Curl with Band,Biceps,E-Z Curl Bar
Alternating Kettlebell Row,Middle Back,Kettlebells
Single-arm side lying rear fly,Shoulders,Dumbbell
Cable shrug,Traps,Cable
Pallof press with rotation,Abdominals,Cable
Lying T-Bar Row,Middle Back,Other
Band Good Morning,Hamstrings,
Kneeling lat pull-down,Lats,Cable
Standing Bent-Over One-Arm Dumbbell Triceps Extension,Triceps,Dumbbell
Overhead squat,Quadriceps,
Pistol squat,Quadriceps,Body Only
Single-Leg Leg Extension,Quadriceps,
Lateral Raise - With Bands,Shoulders,Bands
Leverage High Row,Middle Back,Machine
Medicine ball slam,Lats,Medicine Ball
Single-arm dumbbell upright row,Shoulders,Dumbbell
Smith machine behind-the-back shrug,Traps,Machine
Leg-Up Hamstring Stretch,Hamstrings,Body Only
Walking High Knees,Quadriceps,Body Only
Kettlebell pirate ship,Shoulders,Kettlebells
Dumbbell Scaption,Shoulders,Dumbbell
Cable Wrist Curl,Forearms,Cable
Upright Row - With Bands,Traps,Bands
Suspended Reverse Crunch,Abdominals,Body Only
Lateral lunge,Quadriceps,Body Only
Close-Hands Push-Up,Chest,Body Only
Exercise ball hip thrust,Glutes,Exercise Ball
Barbell side split squat,Quadriceps,Barbell
See-Saw Press (Alternating Side Press),Shoulders,Dumbbell
Sumo Deadlift with Chains,Hamstrings,Barbell
Frog Sit-Ups,Abdominals,Mat
Kettlebell Windmill,Abdominals,Kettlebells
Seated Leg Press,Quadriceps,Machine
Straight-arm plank with biceps curl,Biceps,Dumbbell
Cable Deadlifts,Quadriceps,Cable
Board bench press,Chest,Barbell
Frankenstein Squat,Quadriceps,Barbell
Cable Seated Crunch,Abdominals,Cable
Kettlebell Figure 8,Abdominals,Kettlebells
Kettlebell Curtsy Lunge,Quadriceps,Kettlebells
Single Leg Butt Kick,Quadriceps,
Lying bench reverse crunch,Abdominals,Body Only
Side Leg Raises,Adductors,Body Only
Smith machine Bulgarian split squat,Quadriceps,Machine
Barbell speed squat,Quadriceps,Barbell
Circus Bell,Shoulders,Other
Suspended row,Middle Back,Other
Incline Bench Pull,Middle Back,Barbell
Around The Worlds,Chest,Dumbbells
Tiger-bend push-up,Chest,Body Only
Face-down incline dumbbell biceps curl,Biceps,Dumbbell
Kneeling Jump Squat,Glutes,Barbell
Jump Squat,Quadriceps,Body Only
Seated Head Harness Neck Resistance,Neck,Other
Shoulder Press - With Bands,Shoulders,Bands
Band-assisted pull-up,Lats,Bands
Barbell Bench Press-Wide Grip,Chest,Barbell
Barbell Seated Calf Raise,Calves,Barbell
Over bench jump,Quadriceps,Body Only
Single-arm side deadlift,Quadriceps,Barbell
Sit-up,Abdominals,Body Only
Side Bridge,Abdominals,Body Only
Two-Arm Kettlebell Clean,Shoulders,Kettlebells
Zottman Preacher Curl,Biceps,
Balance Board,Calves,Other
Split Jump,Quadriceps,Body Only
Plyo push-up,Chest,Body Only
Inchworm,Hamstrings,Body Only
Cable rope preacher hammer curl,Biceps,Cable
Vertical Swing,Hamstrings,Dumbbell
Seated Bent-Over One-Arm Dumbbell Triceps Extension,Triceps,Dumbbell
Double Kettlebell Push Press,Shoulders,Kettlebells
Lying oblique crunch,Abdominals,Body Only
Barbell front raise,Shoulders,Barbell
Weighted donkey calf raise,Calves,Other
Machine Triceps Extension,Triceps,Machine
Janda Sit-Up,Abdominals,Body Only
Sled push-,Hamstrings,Other
Seated Dumbbell Inner Biceps Curl,Biceps,Dumbbell
Close-grip hands-elevated push-up,Chest,Body Only
Barbell Squat To A Bench,Quadriceps,Barbell
Dumbbell Incline Shoulder Raise,Shoulders,Dumbbell
Standing Inner-Biceps Curl,Biceps,Dumbbell
Single-arm kettlebell swing,Hamstrings,Kettlebells
Pull Through,Glutes,Cable
Leg Pull-In,Abdominals,Body Only
Standing Leg Curl,Hamstrings,Machine
Isometric Neck Exercise - Sides,Neck,Body Only
Lying cable chest fly,Chest,Cable
Single-arm pull-down,Lats,Machine
Side Jackknife,Abdominals,Body Only
Dumbbell Walking Lunge,Quadriceps,Dumbbell
Lateral hop,Adductors,Body Only
Suspended push-up,Chest,Body Only
